gouvernorat;numero;maison_de_culture;adresse;telephone;directeur;lattitude;longitude;horaire;fax
صفاقس;5;"ـ ساقية الداير";"شارع الحبيب بورقيبة ـ 3011 ساقية الداير";74293394;"نبيلة جردق";;;;
صفاقس;9;"ـ المحرس";"3060 المحرس";74290212;"شكري الأجنف";;;;
صفاقس;14;"ساقية الزيت";;;"سوسن نجاح";;;;
المنستير;4;"ـ صيادة";"شارع الحبيب بورقيبة ــ 5035 صيادة";73430695;"عدنان كريم";;;;
المنستير;10;"ـ جمال";"الحي الإداري ـ 5020 جمال";73486754;"عائشة محمدي";;;;
المنستير;14;"ـ زرمدين";"شارع الحبيب بورقيبة ــ 5040 زرمدين";73498755;"فهد بن حمودة";;;;
قفصة;4;القطار;"شارع الحبيب بورقيبة 2180 القطار";76285774;"اسكندر الرزقي";;;;
قفصة;8;الرديف;"شارع الحبيب بورقيبة 2120الرديف";76250196;"اسماعيل الطرشاق";;;;
قابس;5;مارث;"شارع 27 أكتوبر 6080مارث";75321165;"مخلوف بوعبيد";;;;
قابس;9;"منزل الحبيب";;;"مصطفى الدحري";;;;
